set R := 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60;

set D := 1 2 3;

param xreg := 
1	0.00
2	-31.00
3	3.00
4	-16.00
5	62.00
6	-44.00
7	-50.00
8	-10.00
9	-28.00
10	13.00
11	62.00
12	22.00
13	-36.00
14	36.00
15	-76.00
16	-48.00
17	-68.00
18	-73.00
19	26.00
20	-29.00
21	-77.00
22	-78.00
23	-45.00
24	73.00
25	-28.00
26	39.00
27	-70.00
28	48.00
29	94.00
30	90.00
31	-66.00
32	-64.00
33	33.00
34	89.00
35	-14.00
36	-83.00
37	38.00
38	46.00
39	-92.00
40	-4.00
41	-93.00
42	-69.00
43	60.00
44	20.00
45	-72.00
46	19.00
47	-42.00
48	64.00
49	97.00
50	39.00
51	1.00
52	60.00
53	-77.00
54	-59.00
55	83.00
56	52.00
57	-51.00
58	59.00
59	-4.00
60	41.00
;

param yreg := 
1	-40.00
2	-27.00
3	-24.00
4	-58.00
5	48.00
6	71.00
7	-18.00
8	-90.00
9	-2.00
10	-31.00
11	-78.00
12	16.00
13	18.00
14	31.00
15	-34.00
16	-18.00
17	-95.00
18	89.00
19	8.00
20	99.00
21	-87.00
22	-59.00
23	80.00
24	-17.00
25	38.00
26	-88.00
27	90.00
28	48.00
29	-100.00
30	88.00
31	-36.00
32	-50.00
33	-88.00
34	-61.00
35	94.00
36	41.00
37	-50.00
38	-52.00
39	100.00
40	26.00
41	7.00
42	56.00
43	15.00
44	58.00
45	-75.00
46	40.00
47	34.00
48	80.00
49	-64.00
50	-53.00
51	38.00
52	20.00
53	22.00
54	-9.00
55	-6.00
56	52.00
57	79.00
58	7.00
59	98.00
60	54.00
;

param annualtrips := 
1	165
2	239
3	220
4	147
5	41
6	151
7	164
8	107
9	46
10	86
11	41
12	233
13	139
14	250
15	31
16	122
17	27
18	144
19	198
20	246
21	154
22	244
23	209
24	195
25	106
26	51
27	94
28	129
29	80
30	207
31	148
32	28
33	108
34	137
35	222
36	196
37	226
38	134
39	173
40	227
41	64
42	240
43	108
44	211
45	227
46	248
47	121
48	228
49	42
50	75
51	168
52	175
53	141
54	48
55	74
56	99
57	223
58	205
59	225
60	58
;
